sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
sh: error while loading shared libraries: __vdso_time: invalid mode for dlopen(): Invalid argument
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f6304f95f10>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f6304f95bd0>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.

Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=300
EVALUATE_EVERY=100
HIDDEN_DIM=300
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_EPOCHS=200
WORD2VEC=None

Loading data...
Vocabulary Size: 18758
Train/Dev split: 9662/1000
Writing to /home/chaitanya/lstm-context-embeddings/runs/1469600026

2016-07-27T14:13:51.298475: step 1, loss 0.70131, acc 0.453125
2016-07-27T14:13:53.693515: step 2, loss 0.697427, acc 0.59375
2016-07-27T14:13:56.292057: step 3, loss 0.691292, acc 0.5
2016-07-27T14:13:58.747692: step 4, loss 0.708133, acc 0.515625
2016-07-27T14:14:01.156980: step 5, loss 0.709842, acc 0.4375
2016-07-27T14:14:04.019144: step 6, loss 0.695489, acc 0.515625
2016-07-27T14:14:06.297891: step 7, loss 0.737298, acc 0.5
2016-07-27T14:14:08.655236: step 8, loss 0.697278, acc 0.515625
2016-07-27T14:14:10.996933: step 9, loss 0.723997, acc 0.5
2016-07-27T14:14:13.358714: step 10, loss 0.66837, acc 0.578125
2016-07-27T14:14:15.690156: step 11, loss 0.712028, acc 0.46875
2016-07-27T14:14:18.004235: step 12, loss 0.783619, acc 0.5
2016-07-27T14:14:20.355083: step 13, loss 0.687151, acc 0.546875
2016-07-27T14:14:22.653561: step 14, loss 0.695361, acc 0.53125
2016-07-27T14:14:25.009204: step 15, loss 0.70158, acc 0.53125
2016-07-27T14:14:27.353380: step 16, loss 0.686949, acc 0.515625
2016-07-27T14:14:29.711856: step 17, loss 0.695195, acc 0.578125
2016-07-27T14:14:32.073218: step 18, loss 0.694415, acc 0.53125
2016-07-27T14:14:34.420035: step 19, loss 0.732673, acc 0.53125
2016-07-27T14:14:36.969432: step 20, loss 0.700185, acc 0.5625
2016-07-27T14:14:39.346024: step 21, loss 0.68305, acc 0.53125
2016-07-27T14:14:41.741608: step 22, loss 0.70707, acc 0.5
2016-07-27T14:14:44.085432: step 23, loss 0.715479, acc 0.5
2016-07-27T14:14:46.418814: step 24, loss 0.649605, acc 0.625
2016-07-27T14:14:49.240779: step 25, loss 0.677929, acc 0.578125
2016-07-27T14:14:52.019179: step 26, loss 0.716251, acc 0.5625
2016-07-27T14:14:54.440393: step 27, loss 0.698493, acc 0.53125
2016-07-27T14:14:56.830470: step 28, loss 0.743752, acc 0.375
2016-07-27T14:14:59.712647: step 29, loss 0.690832, acc 0.578125
